cross_name,background_library,driver,construct_line,cross_line_name,replicates
60100 F x Nano/102203 M,KK,Nos-GAL4,4,102203,30
60100 M x Nano/102203 F,KK,Nos-GAL4,4,102203,29
808 F x Nano/43585 M,GD,Nos-GAL4,4,43585,30
808 M x Nano/43585 F,GD,Nos-GAL4,4,43585,30
60100 F x Nano/11KK M,KK,Nos-GAL4,11,11,30
60100 M x Nano/11KK F,KK,Nos-GAL4,11,11,17
808 F x Nano/11GD M,GD,Nos-GAL4,11,11,30
808 M x Nano/11GD F,GD,Nos-GAL4,11,11,30
60100 F x Nano/106727 M,KK,Nos-GAL4,19,106727,30
60100 M x Nano/106727 F,KK,Nos-GAL4,19,106727,30
808 F x Nano/6957 M,GD,Nos-GAL4,19,6957,30
808 M x Nano/6957 F,GD,Nos-GAL4,19,6957,30
60100 F x Nano/101678 M,KK,Nos-GAL4,21,101678,30
60100 M x Nano/101678 F,KK,Nos-GAL4,21,101678,30
808 F x Nano/22221 M,GD,Nos-GAL4,21,22221,29
808 M x Nano/22221 F,GD,Nos-GAL4,21,22221,30
60100 F x Nano/102860 M,KK,Nos-GAL4,25,102860,29
60100 M x Nano/102860 F,KK,Nos-GAL4,25,102860,30
808 F x Nano/42744 M,GD,Nos-GAL4,25,42744,28
808 M x Nano/42744 F,GD,Nos-GAL4,25,42744,30
60100 F x Nano/109707 M,KK,Nos-GAL4,35,109707,30
60100 M x Nano/109707 F,KK,Nos-GAL4,35,109707,30
808 F x Nano/34004 M,GD,Nos-GAL4,35,34004,30
808 M x Nano/34004 F,GD,Nos-GAL4,35,34004,30
60100 F x Nano/106868 M,KK,Nos-GAL4,68,106868,30
60100 M x Nano/106868 F,KK,Nos-GAL4,68,106868,30
808 F x Nano/39487 M,GD,Nos-GAL4,68,39487,60
808 M x Nano/39487 F,GD,Nos-GAL4,68,39487,59
60100 F x Nano/110129 M,KK,Nos-GAL4,87,110129,30
60100 M x Nano/110129 F,KK,Nos-GAL4,87,110129,30
808 F x Nano/30051 M,GD,Nos-GAL4,87,30051,30
808 F x Nano/87GD M,GD,Nos-GAL4,87,87,30
808 M x Nano/30051 F,GD,Nos-GAL4,87,30051,30
808 M x Nano/87GD F,GD,Nos-GAL4,87,87,29
60100 F x Nano/88KK M,KK,Nos-GAL4,88,88,30
60100 M x Nano/88KK F,KK,Nos-GAL4,88,88,30
808 F x Nano/88GD M,GD,Nos-GAL4,88,88,30
808 M x Nano/88GD F,GD,Nos-GAL4,88,88,30
60100 F x Nano/91KK M,KK,Nos-GAL4,91,91,30
60100 M x Nano/91KK F,KK,Nos-GAL4,91,91,30
808 F x Nano/91GD M,GD,Nos-GAL4,91,91,30
808 M x Nano/91GD F,GD,Nos-GAL4,91,91,30
