mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,par_name,model_index
3.9068098422504582,0.003087270954043636,0.30323742484357175,3.329031099912719,3.6902433048551284,3.9037988528529493,4.113979737814445,4.49593645568846,9647.529290421458,1.0000146528081992,base_reproduction,1
0.11971755243373146,3.917619536125142e-5,0.0040726612121227196,0.11186000182735988,0.11696628366129243,0.1196803319501906,0.1224590862924372,0.12784579630097026,10807.171798899171,0.9996225661487164,base_theta,1
0.2958925566578973,2.323527048945576e-4,0.022638309869171192,0.25115156608601374,0.28084578641236685,0.2958061761357798,0.3112651430268706,0.34045365212154033,9492.760745978538,0.9998545331591728,mort_theta,1
3.8999908779436505,0.0028957602143852993,0.29521578640296503,3.3297955952193528,3.7019346206284918,3.897159282970601,4.097716450902759,4.482782542167098,10393.31190446623,0.9998600999543872,base_reproduction,2
0.11972920697307579,3.3279094877936234e-5,0.004007661284130508,0.11213876636645431,0.1169736133715765,0.11977471220215728,0.12237976571550242,0.12756780061441078,14502.370846246322,0.9995126900867212,base_theta,2
0.29600521989236167,2.0287631985247052e-4,0.022310262545480332,0.25310355690431924,0.2806676697271362,0.29612348577212316,0.3114672765940955,0.33922965784481823,12093.35065302399,0.9996686911152232,mort_theta,2
3.8963502527614713,0.0028585614979234585,0.2907311707843623,3.316439905310198,3.7017082112689557,3.8932998558431464,4.090409472834756,4.466087932028584,10343.99053910288,0.9999271292308323,base_reproduction,3
0.11983341091389477,3.630693847296931e-5,0.004030774065789085,0.11195482225579516,0.11709893541613563,0.11980538475943617,0.12251869679480254,0.12772789534646037,12325.304367360726,0.9998525915018843,base_theta,3
0.29561481219515884,2.092775946599151e-4,0.022073034690285383,0.2535692781145783,0.28005516394995966,0.29551666453746417,0.3108521014748672,0.3379764105018149,11124.451872351088,0.9995539134521486,mort_theta,3
3.904678359769089,0.003719816253114281,0.29480597198393826,3.315451535916248,3.7085031645820545,3.9008214513438384,4.1048834018137095,4.486343529097863,6281.011354666702,1.0001833529295376,base_reproduction,4
0.11979849817758102,4.581207275951052e-5,0.004014025096427908,0.11181004553550505,0.11709248953721868,0.11980187011228044,0.12243986551622432,0.12768920522214858,7677.154545604274,0.9996496560577403,base_theta,4
0.2956322353275177,2.6751047096521604e-4,0.022428358466450343,0.25232180951092475,0.2801011422031593,0.29545402716371677,0.3110153040038383,0.3395077640769616,7029.3214737531325,0.9996676205502737,mort_theta,4
